,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
84,hvide sande,56.0045,8.1294,66.09,91,49,11.81,DK,1627259629
85,bathsheba,13.2167,-59.5167,79.41,94,75,6.91,BB,1627259629
86,monrovia,6.3005,-10.7969,75.81,78,88,6.49,LR,1627259368
87,provideniya,64.3833,-173.3,48.31,93,90,4.47,RU,1627259533
88,arraial do cabo,-22.9661,-42.0278,70.16,78,0,25.52,BR,1627259550
89,airai,-8.9266,125.4092,71.62,31,70,2.98,TL,1627259630
90,monclova,26.9,-101.4167,94.42,22,0,13.31,MX,1627259538
91,saint george,37.1041,-113.5841,95.34,61,90,7.0,US,1627259461
92,misratah,32.3754,15.0925,79.75,71,0,10.2,LY,1627259630
93,ilulissat,69.2167,-51.1,51.82,40,100,11.5,GL,1627259631
94,broken hill,-31.95,141.4333,55.11,58,0,12.66,AU,1627259631
95,saint-pierre,-21.3393,55.4781,65.84,67,0,6.91,RE,1627259631
96,novikovo,51.1537,37.8879,60.24,65,0,3.18,RU,1627259632
97,tiksi,71.6872,128.8694,51.4,90,99,5.91,RU,1627259632
98,grand gaube,-20.0064,57.6608,68.4,59,0,16.15,MU,1627259632
99,svetlyy,54.675,20.1347,64.45,73,100,9.86,RU,1627259633
100,puerto ayora,-0.7393,-90.3518,72.55,87,0,7.0,EC,1627259475
101,mayo,38.8876,-76.5119,87.13,78,90,1.99,US,1627259394
102,porkhov,57.765,29.5561,51.69,72,7,2.39,RU,1627259633
103,norman wells,65.282,-126.8329,73.44,49,75,19.57,CA,1627259509
104,san quintin,30.4833,-115.95,69.48,80,100,7.16,MX,1627259634
105,cape town,-33.9258,18.4232,63.88,45,0,1.99,ZA,1627259485
106,matara,5.9485,80.5353,77.88,90,89,9.69,LK,1627259634
107,bangassou,4.7413,22.8184,68.77,99,100,2.84,CF,1627259634
108,severnyy,50.677,36.5532,62.64,63,0,6.71,RU,1627259635
109,manhumirim,-20.3578,-41.9581,55.85,84,0,2.84,BR,1627259635
110,port keats,-14.25,129.55,84.02,42,99,9.17,AU,1627259635
111,george,-33.963,22.4617,62.15,29,0,3.44,ZA,1627259636
112,vaini,-21.2,-175.2,80.76,83,40,11.5,TO,1627259636
113,felsopakony,47.3433,19.237,73.74,73,0,5.75,HU,1627259637
114,luderitz,-26.6481,15.1594,66.31,23,65,9.57,NA,1627259621
115,cockburn town,21.4612,-71.1419,82.4,82,13,11.65,TC,1627259370
116,ahipara,-35.1667,173.1667,59.97,82,46,14.76,NZ,1627259637
117,mirante do paranapanema,-22.2919,-51.9064,73.33,43,0,7.96,BR,1627259638
118,noormarkku,61.5927,21.8685,55.18,94,20,1.14,FI,1627259638
119,port moresby,-9.4431,147.1797,80.02,83,40,3.44,PG,1627259639
120,north bend,43.4065,-124.2243,78.24,76,90,25.32,US,1627259639
121,cocobeach,1.0002,9.5823,76.93,85,95,7.96,GA,1627259639
122,quatre cocos,-20.2078,57.7625,68.11,61,5,12.01,MU,1627259640
123,marshall,34.3834,-86.3333,84.45,66,1,4.61,US,1627259573
124,bahia honda,22.9036,-83.1592,74.12,82,100,6.04,CU,1627259640
125,codrington,-38.2667,141.9667,56.23,85,100,17.13,AU,1627259640
126,vestmannaeyjar,63.4427,-20.2734,50.7,80,82,19.73,IS,1627259356
127,bandarbeyla,9.4942,50.8122,77.07,76,88,23.96,SO,1627259517
128,correntina,-13.3433,-44.6367,65.43,48,0,4.68,BR,1627259641
129,georgetown,5.4112,100.3354,83.89,87,20,2.3,MY,1627259641
130,ushuaia,-54.8,-68.3,33.46,86,40,16.11,AR,1627259642
131,ati,13.2154,18.3353,76.24,80,100,5.08,TD,1627259642
132,esperance,-33.8667,121.9,53.44,79,5,20.42,AU,1627259643
133,amparafaravola,-17.5833,48.2167,55.36,95,100,7.54,MG,1627259643
134,mwandiga,-4.83,29.6581,69.67,58,89,5.48,TZ,1627259643
135,new norfolk,-42.7826,147.0587,49.91,52,100,3.51,AU,1627259644
136,cabo san lucas,22.8909,-109.9124,96.51,62,1,17.27,MX,1627259543
137,faya,18.3851,42.4509,64.51,76,92,4.47,SA,1627259644
138,castro,-24.7911,-50.0119,55.35,62,5,3.44,BR,1627259645
139,qarqin,37.4185,66.0436,84.4,16,0,8.19,AF,1627259645
140,dingle,10.9995,122.6711,85.23,71,91,15.3,PH,1627259645
141,saint-augustin,51.226,-58.6502,60.82,67,100,11.97,CA,1627259646
142,hermiston,45.8404,-119.2895,101.95,16,1,8.05,US,1627259646
143,ulaanbaatar,47.9077,106.8832,60.89,77,100,0.72,MN,1627259361
144,shakawe,-18.3667,21.85,46.06,60,0,6.29,BW,1627259646
145,korla,41.7597,86.1469,88.7,12,0,8.16,CN,1627259647
146,husavik,66.0449,-17.3389,53.51,68,0,12.53,IS,1627259647
147,sioux lookout,50.1001,-91.917,77.38,43,90,10.36,CA,1627259647
148,ponta do sol,32.6667,-17.1,75.0,83,1,1.14,PT,1627259648
149,kodiak,57.79,-152.4072,54.91,88,40,5.75,US,1627259648
150,mount isa,-20.7333,139.5,67.77,22,41,11.5,AU,1627259537
151,carupano,10.6678,-63.2585,77.07,86,99,5.93,VE,1627259649
152,east london,-33.0153,27.9116,58.05,28,18,6.87,ZA,1627259649
153,gasa,31.5,34.4667,80.58,78,5,6.71,PS,1627259374
154,victoria,22.2855,114.1577,88.32,85,12,5.01,HK,1627259362
155,toora-khem,52.4675,96.11,64.04,93,100,0.85,RU,1627259649
156,montoro,38.0241,-4.3834,79.38,61,0,4.56,ES,1627259650
157,uni,57.7535,51.4923,54.72,59,100,4.45,RU,1627259650
158,kavieng,-2.5744,150.7967,82.58,71,95,3.71,PG,1627259524
159,havelock,34.8791,-76.9013,82.38,85,52,6.13,US,1627259651
160,tevriz,57.509,72.4042,56.21,77,24,10.0,RU,1627259651
161,kalamazoo,42.2506,-85.55,82.45,42,1,4.61,US,1627259375
162,arlit,18.7369,7.3853,95.76,18,100,9.13,NE,1627259651
163,mana,5.6592,-53.7767,77.45,84,100,6.33,GF,1627259652
164,katsuura,35.1333,140.3,85.19,67,89,19.48,JP,1627259652
165,olinda,-8.0089,-34.8553,73.13,83,75,12.66,BR,1627259652
166,eureka,40.8021,-124.1637,58.57,82,100,1.99,US,1627259653
167,trenggalek,-8.05,111.7167,76.26,73,93,3.65,ID,1627259653
168,chifeng,42.2683,118.9636,80.6,58,100,11.86,CN,1627259653
169,tasiilaq,65.6145,-37.6368,41.16,83,33,5.75,GL,1627259654
170,namatanai,-3.6667,152.4333,84.47,67,70,2.62,PG,1627259654
171,kokopo,-4.352,152.2633,83.62,68,78,1.39,PG,1627259654
172,khandyga,62.6667,135.6,73.53,45,0,9.17,RU,1627259655
173,porto novo,6.4965,2.6036,74.37,81,45,7.43,BJ,1627259655
174,nanortalik,60.1432,-45.2371,44.33,75,100,10.02,GL,1627259655
175,hervey bay,-25.2986,152.8535,60.3,46,5,10.89,AU,1627259388
176,goderich,43.7501,-81.7165,77.32,57,0,1.14,CA,1627259656
177,ilinskiy,55.619,38.1182,61.3,94,0,2.24,RU,1627259656
178,santa isabel,-23.3156,-46.2214,70.66,47,0,2.77,BR,1627259657
179,dikson,73.5069,80.5464,43.25,74,9,9.06,RU,1627259657
180,vila franca do campo,37.7167,-25.4333,68.41,86,59,7.2,PT,1627259657
181,ibadan,7.3878,3.8964,69.01,93,85,3.98,NG,1627259571
182,morogoro,-6.8167,37.6667,60.87,54,80,2.26,TZ,1627259658
183,port lincoln,-34.7333,135.8667,58.17,74,67,20.45,AU,1627259658
184,leningradskiy,69.3833,178.4167,40.44,84,98,6.46,RU,1627259659
185,asau,46.4333,26.4,64.76,79,5,3.94,RO,1627259659
186,najran,17.4924,44.1277,79.45,47,93,5.35,SA,1627259659
187,yerbogachen,61.2767,108.0108,76.06,46,82,2.19,RU,1627259660
188,sabang,5.8933,95.3214,82.54,78,100,14.27,ID,1627259660
189,nishihara,26.1842,127.7558,82.06,89,75,10.36,JP,1627259661
190,petatlan,17.5167,-101.2667,91.2,89,91,3.6,MX,1627259661
191,huarmey,-10.0681,-78.1522,65.03,87,1,9.89,PE,1627259661
192,mackenzie,55.2999,-123.1698,64.62,59,40,10.36,CA,1627259416
193,sibolga,1.7427,98.7792,80.56,74,12,1.59,ID,1627259662
194,tateyama,34.9833,139.8667,85.1,66,6,13.15,JP,1627259662
195,nyurba,63.2842,118.3319,80.87,43,0,6.15,RU,1627259595
196,tautira,-17.7333,-149.15,82.42,70,8,6.22,PF,1627259663
197,mikhaylovka,50.06,43.2379,62.76,53,53,6.78,RU,1627259663
198,san cristobal,7.7669,-72.225,69.98,98,100,2.3,VE,1627259515
199,hithadhoo,-0.6,73.0833,80.46,76,100,5.7,MV,1627259664
200,vao,-22.6667,167.4833,70.77,67,84,18.45,NC,1627259550
201,changji,44.0167,87.3167,84.99,24,0,8.95,CN,1627259664
202,kuching,1.55,110.3333,77.22,94,20,0.0,MY,1627259664
203,santa luzia,-19.7697,-43.8514,65.3,61,0,12.66,BR,1627259665
204,adeje,28.1227,-16.726,72.21,49,0,11.5,ES,1627259665
205,westport,41.1415,-73.3579,79.29,89,1,1.01,US,1627259665
206,quelimane,-17.8786,36.8883,64.35,77,75,3.44,MZ,1627259666
207,ostrovnoy,68.0531,39.5131,45.36,85,76,17.47,RU,1627259666
208,hobyo,5.3505,48.5268,75.43,76,34,23.94,SO,1627259666
209,presque isle,46.6811,-68.0159,64.83,90,90,12.66,US,1627259667
210,arteaga,18.4667,-102.4167,70.27,95,66,3.51,MX,1627259667
211,lagoa,39.05,-27.9833,68.97,84,7,11.63,PT,1627259667
212,walvis bay,-22.9575,14.5053,72.55,24,93,17.27,NA,1627259668
213,niquero,20.0431,-77.5828,80.83,77,54,7.23,CU,1627259668
214,thompson,55.7435,-97.8558,64.56,39,40,10.36,CA,1627259668
215,along,28.1667,94.7667,77.79,98,100,0.49,IN,1627259668
216,kahului,20.8947,-156.47,86.02,79,40,25.32,US,1627259512
217,hualmay,-11.0964,-77.6139,63.36,86,7,10.85,PE,1627259626
218,zapolyarnyy,69.4154,30.8136,45.68,82,96,11.81,RU,1627259669
219,pangnirtung,66.1451,-65.7125,50.47,90,100,3.22,CA,1627259669
220,alofi,-19.0595,-169.9187,78.69,89,6,4.61,NU,1627259670
221,port-gentil,-0.7193,8.7815,75.47,82,100,7.52,GA,1627259670
222,necochea,-38.5473,-58.7368,46.54,89,11,11.77,AR,1627259671
223,sorland,67.667,12.6934,53.73,86,100,5.06,NO,1627259671
224,evensk,61.95,159.2333,49.51,99,100,8.37,RU,1627259671
225,paita,-5.0892,-81.1144,66.79,87,15,12.84,PE,1627259672
226,lebu,-37.6167,-73.65,48.96,85,44,20.15,CL,1627259576
227,vardo,70.3705,31.1107,45.66,77,59,20.78,NO,1627259672
228,severo-kurilsk,50.6789,156.125,58.39,89,76,1.52,RU,1627259672
229,perth,-31.9333,115.8333,58.05,85,40,11.5,AU,1627259673
230,sirawai,7.5854,122.1407,85.3,66,12,2.37,PH,1627259673
231,batangafo,7.3008,18.2833,69.51,97,100,5.21,CF,1627259673
232,portland,45.5234,-122.6762,93.54,36,1,1.99,US,1627259546
233,berbera,10.4396,45.0143,88.05,39,99,32.7,SO,1627259674
234,bilma,18.6853,12.9164,89.08,39,98,13.82,NE,1627259674
235,senador jose porfirio,-2.5908,-51.9542,76.57,67,10,3.58,BR,1627259674
236,clyde river,70.4692,-68.5914,35.83,100,90,3.44,CA,1627259675
237,ust-kuyga,70.0167,135.6,61.39,59,100,1.97,RU,1627259675
238,namibe,-15.1961,12.1522,68.67,67,0,6.69,AO,1627259675
239,nantucket,41.2835,-70.0995,73.51,83,90,12.66,US,1627259676
240,blanquefort,44.9125,-0.6366,62.82,91,82,4.61,FR,1627259676
241,never,46.9896,3.159,62.44,92,100,5.95,FR,1627259677
242,ancud,-41.8697,-73.8203,38.73,79,7,7.72,CL,1627259677
243,ponta delgada,37.7333,-25.6667,68.72,94,75,12.66,PT,1627259526
244,lincoln,40.8,-96.667,87.1,51,1,6.91,US,1627259271
245,jinchang,38.4953,102.1739,72.73,46,100,16.93,CN,1627259678
246,khatanga,71.9667,102.5,57.88,63,49,2.15,RU,1627259540
247,beringovskiy,63.05,179.3167,50.34,92,99,5.64,RU,1627259678
248,adrar,20.5022,-10.0711,90.39,14,0,8.41,MR,1627259678
249,san luis potosi,22.5,-100.5,81.14,51,0,15.43,MX,1627259591
250,kalmunai,7.4167,81.8167,80.26,79,100,5.26,LK,1627259679
251,karratha,-20.7377,116.8463,74.3,39,78,4.07,AU,1627259679
252,troitsko-pechorsk,62.7084,56.1964,50.38,79,100,4.65,RU,1627259679
253,portel,-1.9356,-50.8211,76.12,67,6,3.13,BR,1627259680
254,flin flon,54.7682,-101.865,64.47,47,11,7.29,CA,1627259680
255,harqalah,36.0303,10.509,84.79,57,0,2.3,TN,1627259680
256,tabou,4.423,-7.3528,76.05,76,28,7.09,CI,1627259681
257,natal,-5.795,-35.2094,75.85,88,75,9.22,BR,1627259681
258,barrow,71.2906,-156.7887,41.02,95,90,17.27,US,1627259682
259,kardailovo,51.5386,53.9042,56.77,46,0,6.22,RU,1627259682
260,singaraja,-8.112,115.0882,81.14,57,3,3.15,ID,1627259682
261,mehamn,71.0357,27.8492,44.49,84,100,13.33,NO,1627259683
262,saldanha,-33.0117,17.9442,50.05,40,100,21.07,ZA,1627259683
263,sisophon,13.5859,102.9737,75.7,93,100,4.68,KH,1627259683
264,pangoa,-12.1167,-73.0,71.06,75,5,2.73,PE,1627259684
265,pisco,-13.7,-76.2167,64.45,72,0,9.22,PE,1627259684
266,vryburg,-26.9566,24.7284,35.13,54,15,5.91,ZA,1627259684
267,narsaq,60.9167,-46.05,50.22,62,100,2.15,GL,1627259685
268,gulbarga,17.3333,76.8333,73.49,87,54,14.03,IN,1627259685
269,la reforma,25.0833,-108.05,94.14,65,1,10.87,MX,1627259686
270,ribeira grande,38.5167,-28.7,70.45,82,7,14.85,PT,1627259686
271,eyl,7.9803,49.8164,78.42,65,100,21.97,SO,1627259686
272,hicaque,15.7561,-87.3438,85.91,79,40,6.91,HN,1627259686
273,starogard gdanski,53.964,18.5264,68.9,100,48,6.51,PL,1627259687
274,port hardy,50.6996,-127.4199,64.58,72,90,5.75,CA,1627259544
275,krasnoselkup,65.7,82.4667,59.88,76,100,8.75,RU,1627259687
276,vestmanna,62.1564,-7.1664,49.12,100,90,5.75,FO,1627259688
277,grand island,40.925,-98.342,82.35,58,1,4.0,US,1627259652
278,yeppoon,-23.1333,150.7333,65.98,40,13,5.95,AU,1627259688
279,vyartsilya,62.1764,30.693,55.83,94,66,2.95,RU,1627259689
280,sangareddi,17.6294,78.0917,75.07,90,54,13.96,IN,1627259689
281,padang,-0.9492,100.3543,77.05,76,27,2.33,ID,1627259689
282,la ronge,55.1001,-105.2842,66.45,68,75,4.61,CA,1627259690
283,moses lake,47.1301,-119.2781,97.48,14,1,8.05,US,1627259690
284,bengkulu,-3.8004,102.2655,77.41,72,0,4.18,ID,1627259507
285,richards bay,-28.783,32.0377,55.13,85,0,6.76,ZA,1627259691
286,san patricio,28.017,-97.5169,90.32,66,3,10.49,US,1627259619
287,lavrentiya,65.5833,-171.0,44.46,98,100,2.28,RU,1627259691
288,kerouane,9.2667,-9.0167,68.41,99,100,2.66,GN,1627259692
289,mingguang,32.7802,117.9638,77.81,93,100,16.06,CN,1627259692
290,kruisfontein,-34.0033,24.7314,54.57,33,100,9.98,ZA,1627259693
291,senhor do bonfim,-10.4614,-40.1894,62.67,92,0,6.85,BR,1627259693
292,oussouye,12.485,-16.5469,78.89,85,100,1.72,SN,1627259623
293,athabasca,54.7169,-113.2854,73.81,28,100,11.07,CA,1627259557
294,tessalit,20.1986,1.0114,92.71,31,100,8.7,ML,1627259693
295,kattivakkam,13.2167,80.3167,82.49,65,100,13.44,IN,1627259694
296,fort oglethorpe,34.949,-85.2569,85.1,80,75,6.91,US,1627259694
297,coquimbo,-29.9533,-71.3436,55.13,87,75,2.3,CL,1627259489
298,taoudenni,22.6783,-3.9836,98.51,7,0,8.59,ML,1627259694
299,panjab,34.388,67.0233,57.6,36,0,6.67,AF,1627259695
300,bubaque,11.2833,-15.8333,79.3,81,100,7.72,GW,1627259695
301,labuhan,-6.8844,112.2051,77.97,69,4,6.13,ID,1627259695
302,sao filipe,14.8961,-24.4956,74.05,76,68,7.11,CV,1627259696
303,kalemie,-5.9475,29.1947,69.42,63,11,19.33,CD,1627259696
304,agadez,19.75,10.25,87.37,13,88,8.14,NE,1627259697
305,kavaratti,10.5669,72.642,81.61,80,100,20.56,IN,1627259697
306,xique-xique,-10.8218,-42.7263,73.26,56,0,14.5,BR,1627259697
307,souillac,-20.5167,57.5167,68.38,77,40,6.91,MU,1627259528
308,smoky lake,54.1169,-112.4686,73.31,43,97,6.91,CA,1627259698
309,turukhansk,65.8167,87.9833,71.2,61,95,4.76,RU,1627259698
310,bongandanga,1.5,21.05,71.31,82,55,2.82,CD,1627259698
311,gambissara,13.2382,-14.3108,74.08,92,100,4.34,SN,1627259699
312,woodward,36.4337,-99.3904,87.03,58,1,13.8,US,1627259602
313,catamarca,-28.4696,-65.7852,60.78,55,0,1.99,AR,1627259529
314,palana,59.1167,159.9667,55.15,89,88,16.13,RU,1627259592
315,wanning,18.8003,110.3967,83.62,79,73,2.95,CN,1627259699
316,tocopilla,-22.092,-70.1979,61.59,74,89,9.33,CL,1627259700
317,los llanos de aridane,28.6585,-17.9182,73.13,60,75,13.8,ES,1627259700
318,pajapan,18.25,-94.7,86.16,85,96,6.35,MX,1627259701
319,port maria,18.3685,-76.8895,82.36,92,87,3.96,JM,1627259701
320,lagos,6.5833,3.75,80.92,82,29,5.21,NG,1627259640
321,pompeu,-19.2244,-44.9353,57.51,45,0,5.06,BR,1627259701
322,furstenwalde,52.3667,14.0667,69.01,93,100,3.33,DE,1627259702
323,bojnurd,37.4747,57.329,73.35,78,0,4.61,IR,1627259705
324,hudson bay,52.85,-102.3842,72.54,41,100,6.53,CA,1627259705
325,koungou,-12.7336,45.2042,76.71,73,90,20.71,YT,1627259706
326,vallenar,-28.5708,-70.7581,53.91,60,0,1.34,CL,1627259706
327,nikolsk,53.7189,46.0712,58.51,58,91,3.76,RU,1627259707
328,qaqortoq,60.7167,-46.0333,50.5,70,100,2.1,GL,1627259707
329,klaksvik,62.2266,-6.589,50.92,95,100,9.26,FO,1627259708
330,ketchikan,55.3422,-131.6461,63.07,63,75,8.05,US,1627259708
331,celestun,20.8667,-90.4,82.18,80,46,11.3,MX,1627259708
332,darhan,49.4867,105.9228,66.0,66,5,5.82,MN,1627259709
333,high level,58.5169,-117.136,69.91,56,75,10.36,CA,1627259709
334,gamba,-2.65,10.0,69.78,93,100,1.54,GA,1627259710
335,kaeo,-35.1,173.7833,66.33,76,8,13.02,NZ,1627259710
336,gizo,-8.103,156.8419,83.61,70,5,3.98,SB,1627259710
337,kharp,66.8014,65.8081,47.98,88,100,3.29,RU,1627259711
338,almeirim,-1.5233,-52.5817,76.84,65,66,1.72,BR,1627259529
339,santa fe,-31.6333,-60.7,57.99,82,0,1.01,AR,1627259711
340,fortuna,40.5982,-124.1573,58.32,88,75,16.11,US,1627259711
341,griffith,41.5284,-87.4237,85.98,54,1,3.44,US,1627259712
342,bosaso,11.2842,49.1816,87.04,40,96,25.84,SO,1627259712
343,ketou,7.3633,2.5998,73.51,82,100,6.58,BJ,1627259713
344,nizhniy kuranakh,58.8353,125.4869,69.12,62,0,4.34,RU,1627259713
345,jieshou,33.2634,115.3611,82.17,73,98,9.37,CN,1627259714
346,puerto narino,-3.7703,-70.3831,76.95,90,97,2.39,CO,1627259714
347,zile,40.3031,35.8864,63.72,93,30,0.69,TR,1627259714
348,nabire,-3.3667,135.4833,85.75,62,38,3.0,ID,1627259715
349,paracuru,-3.41,-39.0306,80.11,81,1,12.75,BR,1627259715
350,togur,58.3631,82.8265,66.36,95,100,6.46,RU,1627259715
351,oga,46.4631,10.347,56.48,86,100,1.79,IT,1627259716
352,poronaysk,49.2167,143.1167,79.7,68,77,11.14,RU,1627259716
353,digby,44.6169,-65.7655,67.59,86,100,10.31,CA,1627259483
354,buala,-8.145,159.5921,85.12,70,18,7.7,SB,1627259717
355,geraldton,-28.7667,114.6,50.41,87,90,16.11,AU,1627259717
356,narasannapeta,18.4167,84.05,82.87,73,94,4.83,IN,1627259717
357,ayan,56.45,138.1667,64.83,80,47,5.17,RU,1627259530
358,roma,43.2128,-75.4557,75.87,83,1,6.91,US,1627259718
359,suhbaatar,50.2314,106.2078,69.73,56,2,4.94,MN,1627259718
360,lompoc,34.6391,-120.4579,80.78,77,90,12.66,US,1627259718
361,pimentel,-6.8367,-79.9342,66.0,84,32,4.0,PE,1627259719
362,silver city,32.7701,-108.2803,74.91,62,40,14.0,US,1627259719
363,hami,42.8,93.45,87.84,18,4,12.06,CN,1627259719
364,ararat,39.8317,44.7049,79.14,59,0,3.22,AM,1627259720
365,kaitangata,-46.2817,169.8464,52.93,74,100,3.65,NZ,1627259514
366,banda aceh,5.5577,95.3222,80.98,79,100,9.8,ID,1627259720
367,gannan,47.9147,123.5031,67.46,96,100,1.16,CN,1627259721
368,talnakh,69.4865,88.3972,57.92,93,100,1.99,RU,1627259593
369,muzhi,65.3667,64.6667,49.32,75,80,4.47,RU,1627259721
